name,slug,description,sku,price,trackInventory,stockOnHand,enabled,assetUrls,customFields:analogInputs,customFields:brand,customFields:category,customFields:commercialStatus,customFields:communication,customFields:depth,customFields:digitalInputs,customFields:digitalOutputs,customFields:height,customFields:productType,customFields:programmingLanguage,customFields:statusCode,customFields:voltage,customFields:weight,customFields:width,customFields:stockStatus
Automat Programabil M221 cu 32 Io pe Tranzistor Pnp,automat-programabil-m221-cu-32-io-pe-tranzistor-pnp,Automat Programabil M221 cu 32 Io pe Tranzistor Pnp - Schneider Electric,TM221M32TK,1007.7,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130243&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130243&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+RS485+RS232+USB,"10,0 cm",16,16,"10,8 cm",TM221,Ladder,others,24V,"420,0 g","12,6 cm",inStock
"Automat Programabil M221 Cu 16 Io Pe Relee, Cu Ethernet",automat-programabil-m221-cu-16-io-pe-relee-cu-ethernet,"Automat Programabil M221 Cu 16 Io Pe Relee, Cu Ethernet - Schneider Electric",TM221ME16R,1007.7,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130237&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130237&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+Ethernet+Ethernet+RS485+RS232+USB,"9,7 cm",8,8,"10,7 cm",TM221,Ladder,others,24V,"442,0 g","12,8 cm",inStock
"Automat Programabil M221 Cu 32 Io Pe Tranzistor Pnp, Cu Ethernet",automat-programabil-m221-cu-32-io-pe-tranzistor-pnp-cu-ethernet,"Automat Programabil M221 Cu 32 Io Pe Tranzistor Pnp, Cu Ethernet - Schneider Electric",TM221ME32TK,1113.76,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130244&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130244&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+Ethernet+Ethernet+RS485+RS232+USB,"13,000 cm",16,16,"11,000 cm",TM221,Ladder,others,24V,"606,000 g","10,000 cm",inStock
Automat Programabil M221 cu 16 Io pe Relee,automat-programabil-m221-cu-16-io-pe-relee,Automat Programabil M221 cu 16 Io pe Relee - Schneider Electric,TM221C16R,810.18,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130223&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130223&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+RS485+RS232+USB,"13,9 cm",9,0,"10,6 cm",TM221,Ladder,others,24V,"300,0 g","14,0 cm",inStock
Automat Programabil M221 cu 40 Io pe Relee,automat-programabil-m221-cu-40-io-pe-relee,Automat Programabil M221 cu 40 Io pe Relee - Schneider Electric,TM221C40R,1244.25,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130231&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130231&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+RS485+RS232+USB,"21,08 cm",24,0,"10,92 cm",TM221,Ladder,others,24V,850 g,"14,48 cm",inStock
Automat Programabil M221 cu 40 Io pe Tranzistor Pnp,automat-programabil-m221-cu-40-io-pe-tranzistor-pnp,Automat Programabil M221 cu 40 Io pe Tranzistor Pnp - Schneider Electric,TM221C40T,1184.54,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130233&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130233&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+RS485+RS232+USB,"21,084 cm",24,16,"11,172 cm",TM221,Ladder,others,24V,"750,0 g","14,117 cm",inStock
Automat Programabil M221 cu 24 Io pe Relee,automat-programabil-m221-cu-24-io-pe-relee,Automat Programabil M221 cu 24 Io pe Relee - Schneider Electric,TM221C24R,967.56,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130227&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130227&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+RS485+RS232+USB,"15,643 cm",14,0,"11,116 cm",TM221,Ladder,others,24V,"640,0 g","14,219 cm",inStock
CONTROLER M221-40ES TR.N PN,controler-m221-40es-tr-n-pn,CONTROLER M221-40ES TR.N PN - Schneider Electric,TM221C40U,1191.15,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130253&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130253&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+RS485+RS232+USB,"11,2 cm",24,16,"14,3 cm",TM221,Ladder,others,24V,"832,0 g","21,0 cm",inStock
Automat Programabil M221 cu 16 Io pe Tranzistor Pnp,automat-programabil-m221-cu-16-io-pe-tranzistor-pnp,Automat Programabil M221 cu 16 Io pe Tranzistor Pnp - Schneider Electric,TM221C16T,786.01,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130225&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130225&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+RS485+RS232+USB,"14,163 cm",9,7,"11,129 cm",TM221,Ladder,others,24V,"551,0 g","14,031 cm",inStock
Automat Programabil M221 cu 24 Io pe Tranzistor Pnp,automat-programabil-m221-cu-24-io-pe-tranzistor-pnp,Automat Programabil M221 cu 24 Io pe Tranzistor Pnp - Schneider Electric,TM221C24T,944.07,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130229&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130229&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+RS485+RS232+USB,"15,497 cm",14,10,"11,021 cm",TM221,Ladder,others,24V,"601,0 g","14,142 cm",inStock
"Automat Programabil M221 Cu 16 Io Pe Relee, Cu Ethernet",automat-programabil-m221-cu-16-io-pe-relee-cu-ethernet,"Automat Programabil M221 Cu 16 Io Pe Relee, Cu Ethernet - Schneider Electric",TM221CE16R,891.4,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130224&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130224&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+Ethernet+Ethernet+RS485+RS232+USB,"14,181 cm",9,0,"10,829 cm",TM221,Ladder,others,24V,"590,0 g","14,04 cm",inStock
"Automat Programabil M221 Cu 24 Io Pe Tranzistor Pnp, Cu Ethernet",automat-programabil-m221-cu-24-io-pe-tranzistor-pnp-cu-ethernet,"Automat Programabil M221 Cu 24 Io Pe Tranzistor Pnp, Cu Ethernet - Schneider Electric",TM221CE24T,1027.85,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130230&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130230&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+Ethernet+Ethernet+RS485+RS232+USB,"15,607 cm",14,10,"11,133 cm",TM221,Ladder,others,24V,"621,0 g","14,136 cm",inStock
CONTROLER M221-16ES TR.N PN ETHERNET,controler-m221-16es-tr-n-pn-ethernet,CONTROLER M221-16ES TR.N PN ETHERNET - Schneider Electric,TM221CE16U,874.04,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130247&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130247&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+Ethernet+Ethernet+RS485+RS232+USB,"14,0 cm",9,7,"11,0 cm",TM221,Ladder,others,24V,"556,0 g","14,0 cm",inStock
"Automat Programabil M221 Cu 24 Io Pe Relee, Cu Ethernet",automat-programabil-m221-cu-24-io-pe-relee-cu-ethernet,"Automat Programabil M221 Cu 24 Io Pe Relee, Cu Ethernet - Schneider Electric",TM221CE24R,1027.85,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130228&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130228&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+Ethernet+Ethernet+RS485+RS232+USB,"14,000 cm",14,0,"11,000 cm",TM221,Ladder,others,24V,"630,000 g","15,500 cm",inStock
CONTROLER M221-24ES TR.N PN ETHERNET,controler-m221-24es-tr-n-pn-ethernet,CONTROLER M221-24ES TR.N PN ETHERNET - Schneider Electric,TM221CE24U,1028.1,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130251&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130251&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+Ethernet+Ethernet+RS485+RS232+USB,"15,5 cm",14,10,"11,2 cm",TM221,Ladder,others,24V,613 g,"14,3 cm",inStock
"Automat Programabil M221 Cu 16 Io Pe Tranzistor Pnp, Cu Ethernet",automat-programabil-m221-cu-16-io-pe-tranzistor-pnp-cu-ethernet,"Automat Programabil M221 Cu 16 Io Pe Tranzistor Pnp, Cu Ethernet - Schneider Electric",TM221CE16T,891.4,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130226&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130226&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+Ethernet+Ethernet+RS485+RS232+USB,"13,9 cm",9,7,"10,6 cm",TM221,Ladder,others,24V,"300,0 g","14,0 cm",inStock
